board,tempP1,,,,,
7,19,880,759.93,-0.399435,-0.982575,43227.9
7,20,925,815.911,-0.402699,-1.58587,42751.5
7,21,1000,898.57,-0.394631,-1.31148,43133.2
7,22,970,852.695,-0.262586,-0.8065,43306.9
7,23,895,803.762,-0.366864,-0.637898,43474.4
7,24,985,865.542,-0.326197,-1.04609,43582.5
7,25,970,877.393,-0.304135,-0.516198,43908.8
7,26,955,854.806,-0.292449,-0.889911,43191.4
7,27,955,853.045,-0.290278,-0.898314,43380.5
7,28,940,802.612,-0.335978,0.765106,44341.8
7,29,880,767.597,-0.359836,-0.442882,43572.5
7,30,835,750.052,-0.375914,-0.364582,43684.5
7,31,895,786.612,-0.38342,0.790772,44261.4
8,0,820,684.237,-0.377141,-0.295909,43924.3
8,1,835,722.244,-0.390205,0.564023,44505.8
8,2,865,755.828,-0.335959,0.757793,44521.6
8,3,910,789.743,-0.295039,0.75956,44672.5
8,4,910,787.939,-0.37944,-1.78904,42670.4
8,5,940,816.383,-0.280246,-0.938064,43555
8,6,925,806.921,-0.343367,-1.21796,43490.5
8,7,925,808.939,-0.330133,-1.17321,43124.3
8,8,880,767.959,-0.33542,-0.724202,43567.8
8,9,880,778.257,-0.370771,-0.915921,43341.1
8,10,895,788.142,-0.349528,-1.08377,43343.5
8,11,910,783.889,-0.322556,-0.865109,43395.5
8,12,850,740.652,-0.406653,-2.20654,42421
8,13,910,809.158,-0.39512,-1.73752,43051.3
8,14,880,778.43,-0.335863,-2.09971,42551.8
8,15,850,757.358,-0.314717,-2.08072,42432.1
8,16,880,766.961,-0.389269,-1.95795,43148
8,17,925,804.049,-0.36293,-1.7328,42989.9
8,18,850,741.234,-0.321323,-1.48644,43119.5
8,19,865,748.82,-0.354276,-1.71266,42612
8,20,925,817.455,-0.375428,-1.85591,42792.2
8,21,880,754.26,-0.333164,-2.08219,42632.1
8,22,880,746.637,-0.347378,-1.51602,42831.8
8,23,835,720.359,-0.372432,-0.875845,43207.7
8,24,940,841.543,-0.362849,-1.66943,42970.5
8,25,970,845.508,-0.307371,-0.803934,43525.8
8,26,940,803.275,-0.341722,-1.27602,42865.5
8,27,880,743.943,-0.31359,-1.1581,43342.6
8,28,895,761.565,-0.331609,0.226405,43906.8
8,29,850,731.303,-0.349072,-1.08136,43113.4
8,30,805,706.431,-0.403844,-0.827337,43272.5
8,31,820,703.427,-0.353756,0.840868,44167.1
9,0,895,788.314,-0.34436,-0.436195,44086.2
9,1,895,824.145,-0.381512,-0.624384,43967.4
9,2,955,861.421,-0.345266,0.776267,44723.4
9,3,955,855.977,-0.2947,1.01072,44974.5
9,4,985,860.317,-0.30473,-1.91917,43007
9,5,970,856.666,-0.298656,-1.34093,43491.5
9,6,970,875.912,-0.358935,-1.06584,43823
9,7,940,847.427,-0.359521,-1.4266,43215.3
9,8,925,808.365,-0.327002,-0.834269,43990.1
9,9,940,845.775,-0.344346,-1.31099,43379.8
9,10,940,846.868,-0.337277,-1.41956,43421.6
9,11,925,824.394,-0.352817,-0.810415,43594.6
9,12,865,755.914,-0.370803,-2.09959,42807.2
9,13,850,747.452,-0.400861,-1.91679,43222.9
9,14,880,764.104,-0.372448,-2.16357,42819.8
9,15,880,773.039,-0.406303,-1.91535,42814.6
9,16,925,780.633,-0.480002,-2.02279,43386.4
9,17,955,812.31,-0.370037,-1.81885,43332.4
9,18,940,783.279,-0.398426,-1.34429,43227.9
9,19,910,750.863,-0.373369,-2.00331,42680.4
9,20,940,786.118,-0.412539,-2.02622,42975.1
9,21,970,820.207,-0.389532,-1.96507,42827.3
9,22,1000,835.397,-0.335973,-1.57215,42925.5
9,23,895,752.814,-0.426089,-1.12702,43339.9
9,24,985,814.287,-0.383262,-1.92675,43228
